cuda:0
Epoch [1/50], Validation Loss: 0.6787, Validation Accuracy: 55.88%, Accuracy per Class: [0.76190476 0.23076923], Precision: 0.3750, Recall: 0.2308, F1 Score: 0.2857
Epoch [2/50], Validation Loss: 0.7029, Validation Accuracy: 52.94%, Accuracy per Class: [0.71428571 0.23076923], Precision: 0.3333, Recall: 0.2308, F1 Score: 0.2727
Epoch [3/50], Validation Loss: 0.6939, Validation Accuracy: 64.71%, Accuracy per Class: [0.95238095 0.15384615], Precision: 0.6667, Recall: 0.1538, F1 Score: 0.2500
Epoch [4/50], Validation Loss: 0.7033, Validation Accuracy: 61.76%, Accuracy per Class: [0.95238095 0.07692308], Precision: 0.5000, Recall: 0.0769, F1 Score: 0.1333
Epoch [5/50], Validation Loss: 0.7138, Validation Accuracy: 58.82%, Accuracy per Class: [0.95238095 0.        ], Precision: 0.0000, Recall: 0.0000, F1 Score: 0.0000
Epoch [6/50], Validation Loss: 0.6866, Validation Accuracy: 61.76%, Accuracy per Class: [0.9047619  0.15384615], Precision: 0.5000, Recall: 0.1538, F1 Score: 0.2353
Epoch [7/50], Validation Loss: 0.6909, Validation Accuracy: 52.94%, Accuracy per Class: [0.61904762 0.38461538], Precision: 0.3846, Recall: 0.3846, F1 Score: 0.3846
Epoch [8/50], Validation Loss: 0.6975, Validation Accuracy: 61.76%, Accuracy per Class: [0.57142857 0.69230769], Precision: 0.5000, Recall: 0.6923, F1 Score: 0.5806
Epoch [9/50], Validation Loss: 0.6527, Validation Accuracy: 67.65%, Accuracy per Class: [0.80952381 0.46153846], Precision: 0.6000, Recall: 0.4615, F1 Score: 0.5217
Epoch [10/50], Validation Loss: 0.6359, Validation Accuracy: 61.76%, Accuracy per Class: [0.76190476 0.38461538], Precision: 0.5000, Recall: 0.3846, F1 Score: 0.4348
Epoch [11/50], Validation Loss: 0.6366, Validation Accuracy: 61.76%, Accuracy per Class: [0.76190476 0.38461538], Precision: 0.5000, Recall: 0.3846, F1 Score: 0.4348
Epoch [12/50], Validation Loss: 0.6345, Validation Accuracy: 70.59%, Accuracy per Class: [0.9047619  0.38461538], Precision: 0.7143, Recall: 0.3846, F1 Score: 0.5000
Epoch [13/50], Validation Loss: 0.6332, Validation Accuracy: 61.76%, Accuracy per Class: [0.76190476 0.38461538], Precision: 0.5000, Recall: 0.3846, F1 Score: 0.4348
Epoch [14/50], Validation Loss: 0.6512, Validation Accuracy: 64.71%, Accuracy per Class: [0.71428571 0.53846154], Precision: 0.5385, Recall: 0.5385, F1 Score: 0.5385
Epoch [15/50], Validation Loss: 0.6443, Validation Accuracy: 64.71%, Accuracy per Class: [0.80952381 0.38461538], Precision: 0.5556, Recall: 0.3846, F1 Score: 0.4545
Epoch [16/50], Validation Loss: 0.6137, Validation Accuracy: 64.71%, Accuracy per Class: [0.9047619  0.23076923], Precision: 0.6000, Recall: 0.2308, F1 Score: 0.3333
