cuda:0
Epoch [1/50], Validation Loss: 0.6369, Validation Accuracy: 68.12%, Accuracy per Class: [0.64444444 0.75      ], Precision: 0.5294, Recall: 0.7500, F1 Score: 0.6207
Epoch [2/50], Validation Loss: 0.5660, Validation Accuracy: 68.12%, Accuracy per Class: [1.         0.08333333], Precision: 1.0000, Recall: 0.0833, F1 Score: 0.1538
Epoch [3/50], Validation Loss: 0.5750, Validation Accuracy: 81.16%, Accuracy per Class: [0.95555556 0.54166667], Precision: 0.8667, Recall: 0.5417, F1 Score: 0.6667
Epoch [4/50], Validation Loss: 0.5678, Validation Accuracy: 82.61%, Accuracy per Class: [0.97777778 0.54166667], Precision: 0.9286, Recall: 0.5417, F1 Score: 0.6842
Epoch [5/50], Validation Loss: 0.5713, Validation Accuracy: 75.36%, Accuracy per Class: [0.84444444 0.58333333], Precision: 0.6667, Recall: 0.5833, F1 Score: 0.6222
Epoch [6/50], Validation Loss: 0.5557, Validation Accuracy: 81.16%, Accuracy per Class: [0.91111111 0.625     ], Precision: 0.7895, Recall: 0.6250, F1 Score: 0.6977
Epoch [7/50], Validation Loss: 0.5440, Validation Accuracy: 78.26%, Accuracy per Class: [0.84444444 0.66666667], Precision: 0.6957, Recall: 0.6667, F1 Score: 0.6809
Epoch [8/50], Validation Loss: 0.5263, Validation Accuracy: 81.16%, Accuracy per Class: [0.88888889 0.66666667], Precision: 0.7619, Recall: 0.6667, F1 Score: 0.7111
Epoch [9/50], Validation Loss: 0.5302, Validation Accuracy: 82.61%, Accuracy per Class: [0.86666667 0.75      ], Precision: 0.7500, Recall: 0.7500, F1 Score: 0.7500
Epoch [10/50], Validation Loss: 0.5224, Validation Accuracy: 79.71%, Accuracy per Class: [0.82222222 0.75      ], Precision: 0.6923, Recall: 0.7500, F1 Score: 0.7200
Epoch [11/50], Validation Loss: 0.4906, Validation Accuracy: 82.61%, Accuracy per Class: [0.91111111 0.66666667], Precision: 0.8000, Recall: 0.6667, F1 Score: 0.7273
