cuda:0
Epoch [1/50], Validation Loss: 0.3249, Validation Accuracy: 87.39%, Accuracy per Class: [0.84473684 0.90967742], Precision: 0.8270, Recall: 0.9097, F1 Score: 0.8664
Epoch [2/50], Validation Loss: 0.2059, Validation Accuracy: 91.74%, Accuracy per Class: [0.90526316 0.93225806], Precision: 0.8892, Recall: 0.9323, F1 Score: 0.9102
Epoch [3/50], Validation Loss: 0.1874, Validation Accuracy: 92.17%, Accuracy per Class: [0.97105263 0.86129032], Precision: 0.9604, Recall: 0.8613, F1 Score: 0.9082
Epoch [4/50], Validation Loss: 0.1583, Validation Accuracy: 93.62%, Accuracy per Class: [0.90789474 0.97096774], Precision: 0.8958, Recall: 0.9710, F1 Score: 0.9319
Epoch [5/50], Validation Loss: 0.1171, Validation Accuracy: 95.22%, Accuracy per Class: [0.97894737 0.91935484], Precision: 0.9727, Recall: 0.9194, F1 Score: 0.9453
Epoch [6/50], Validation Loss: 0.0957, Validation Accuracy: 96.81%, Accuracy per Class: [0.97368421 0.96129032], Precision: 0.9675, Recall: 0.9613, F1 Score: 0.9644
Epoch [7/50], Validation Loss: 0.0870, Validation Accuracy: 96.38%, Accuracy per Class: [0.95789474 0.97096774], Precision: 0.9495, Recall: 0.9710, F1 Score: 0.9601
Epoch [8/50], Validation Loss: 0.0777, Validation Accuracy: 97.25%, Accuracy per Class: [0.97368421 0.97096774], Precision: 0.9678, Recall: 0.9710, F1 Score: 0.9694
Epoch [9/50], Validation Loss: 0.0727, Validation Accuracy: 97.68%, Accuracy per Class: [0.97894737 0.97419355], Precision: 0.9742, Recall: 0.9742, F1 Score: 0.9742
Epoch [10/50], Validation Loss: 0.0736, Validation Accuracy: 97.83%, Accuracy per Class: [0.98947368 0.96451613], Precision: 0.9868, Recall: 0.9645, F1 Score: 0.9755
Epoch [11/50], Validation Loss: 0.0648, Validation Accuracy: 97.97%, Accuracy per Class: [0.98421053 0.97419355], Precision: 0.9805, Recall: 0.9742, F1 Score: 0.9773
Epoch [12/50], Validation Loss: 0.0674, Validation Accuracy: 97.97%, Accuracy per Class: [0.97894737 0.98064516], Precision: 0.9744, Recall: 0.9806, F1 Score: 0.9775
Epoch [13/50], Validation Loss: 0.0651, Validation Accuracy: 97.97%, Accuracy per Class: [0.98684211 0.97096774], Precision: 0.9837, Recall: 0.9710, F1 Score: 0.9773
Epoch [14/50], Validation Loss: 0.0742, Validation Accuracy: 97.83%, Accuracy per Class: [0.98947368 0.96451613], Precision: 0.9868, Recall: 0.9645, F1 Score: 0.9755
Epoch [15/50], Validation Loss: 0.0667, Validation Accuracy: 98.12%, Accuracy per Class: [0.98684211 0.97419355], Precision: 0.9837, Recall: 0.9742, F1 Score: 0.9789
Epoch [16/50], Validation Loss: 0.0795, Validation Accuracy: 97.97%, Accuracy per Class: [0.99210526 0.96451613], Precision: 0.9901, Recall: 0.9645, F1 Score: 0.9771
Epoch [17/50], Validation Loss: 0.0672, Validation Accuracy: 98.12%, Accuracy per Class: [0.98684211 0.97419355], Precision: 0.9837, Recall: 0.9742, F1 Score: 0.9789
Epoch [18/50], Validation Loss: 0.0715, Validation Accuracy: 97.83%, Accuracy per Class: [0.98684211 0.96774194], Precision: 0.9836, Recall: 0.9677, F1 Score: 0.9756
Epoch [19/50], Validation Loss: 0.0672, Validation Accuracy: 98.12%, Accuracy per Class: [0.98684211 0.97419355], Precision: 0.9837, Recall: 0.9742, F1 Score: 0.9789
Epoch [20/50], Validation Loss: 0.0651, Validation Accuracy: 98.12%, Accuracy per Class: [0.98421053 0.97741935], Precision: 0.9806, Recall: 0.9774, F1 Score: 0.9790
Epoch [21/50], Validation Loss: 0.0726, Validation Accuracy: 97.97%, Accuracy per Class: [0.98684211 0.97096774], Precision: 0.9837, Recall: 0.9710, F1 Score: 0.9773
Epoch [22/50], Validation Loss: 0.0694, Validation Accuracy: 98.12%, Accuracy per Class: [0.98684211 0.97419355], Precision: 0.9837, Recall: 0.9742, F1 Score: 0.9789
Epoch [23/50], Validation Loss: 0.0710, Validation Accuracy: 98.12%, Accuracy per Class: [0.98684211 0.97419355], Precision: 0.9837, Recall: 0.9742, F1 Score: 0.9789
Epoch [24/50], Validation Loss: 0.0786, Validation Accuracy: 97.83%, Accuracy per Class: [0.98947368 0.96451613], Precision: 0.9868, Recall: 0.9645, F1 Score: 0.9755
Epoch [25/50], Validation Loss: 0.0805, Validation Accuracy: 97.97%, Accuracy per Class: [0.98947368 0.96774194], Precision: 0.9868, Recall: 0.9677, F1 Score: 0.9772
Epoch [26/50], Validation Loss: 0.0764, Validation Accuracy: 97.83%, Accuracy per Class: [0.98684211 0.96774194], Precision: 0.9836, Recall: 0.9677, F1 Score: 0.9756
Epoch [27/50], Validation Loss: 0.0796, Validation Accuracy: 97.83%, Accuracy per Class: [0.98947368 0.96451613], Precision: 0.9868, Recall: 0.9645, F1 Score: 0.9755
Epoch [28/50], Validation Loss: 0.0794, Validation Accuracy: 97.83%, Accuracy per Class: [0.98947368 0.96451613], Precision: 0.9868, Recall: 0.9645, F1 Score: 0.9755
Epoch [29/50], Validation Loss: 0.0739, Validation Accuracy: 97.83%, Accuracy per Class: [0.98684211 0.96774194], Precision: 0.9836, Recall: 0.9677, F1 Score: 0.9756
Epoch [30/50], Validation Loss: 0.0749, Validation Accuracy: 97.83%, Accuracy per Class: [0.98684211 0.96774194], Precision: 0.9836, Recall: 0.9677, F1 Score: 0.9756
Epoch [31/50], Validation Loss: 0.0729, Validation Accuracy: 98.12%, Accuracy per Class: [0.98684211 0.97419355], Precision: 0.9837, Recall: 0.9742, F1 Score: 0.9789
Epoch [32/50], Validation Loss: 0.0735, Validation Accuracy: 98.12%, Accuracy per Class: [0.98684211 0.97419355], Precision: 0.9837, Recall: 0.9742, F1 Score: 0.9789
Epoch [33/50], Validation Loss: 0.0817, Validation Accuracy: 97.83%, Accuracy per Class: [0.98684211 0.96774194], Precision: 0.9836, Recall: 0.9677, F1 Score: 0.9756
Epoch [34/50], Validation Loss: 0.0781, Validation Accuracy: 97.83%, Accuracy per Class: [0.98684211 0.96774194], Precision: 0.9836, Recall: 0.9677, F1 Score: 0.9756
Epoch [35/50], Validation Loss: 0.0785, Validation Accuracy: 97.83%, Accuracy per Class: [0.98684211 0.96774194], Precision: 0.9836, Recall: 0.9677, F1 Score: 0.9756
Epoch [36/50], Validation Loss: 0.0737, Validation Accuracy: 98.12%, Accuracy per Class: [0.98684211 0.97419355], Precision: 0.9837, Recall: 0.9742, F1 Score: 0.9789
Epoch [37/50], Validation Loss: 0.0752, Validation Accuracy: 98.12%, Accuracy per Class: [0.98684211 0.97419355], Precision: 0.9837, Recall: 0.9742, F1 Score: 0.9789
Epoch [38/50], Validation Loss: 0.0756, Validation Accuracy: 98.12%, Accuracy per Class: [0.98684211 0.97419355], Precision: 0.9837, Recall: 0.9742, F1 Score: 0.9789
Epoch [39/50], Validation Loss: 0.0780, Validation Accuracy: 97.97%, Accuracy per Class: [0.98684211 0.97096774], Precision: 0.9837, Recall: 0.9710, F1 Score: 0.9773
Epoch [40/50], Validation Loss: 0.0794, Validation Accuracy: 97.83%, Accuracy per Class: [0.98684211 0.96774194], Precision: 0.9836, Recall: 0.9677, F1 Score: 0.9756
Epoch [41/50], Validation Loss: 0.0844, Validation Accuracy: 97.83%, Accuracy per Class: [0.98947368 0.96451613], Precision: 0.9868, Recall: 0.9645, F1 Score: 0.9755
Epoch [42/50], Validation Loss: 0.0846, Validation Accuracy: 97.83%, Accuracy per Class: [0.98947368 0.96451613], Precision: 0.9868, Recall: 0.9645, F1 Score: 0.9755
Epoch [43/50], Validation Loss: 0.0751, Validation Accuracy: 98.41%, Accuracy per Class: [0.98684211 0.98064516], Precision: 0.9838, Recall: 0.9806, F1 Score: 0.9822
Epoch [44/50], Validation Loss: 0.0703, Validation Accuracy: 98.55%, Accuracy per Class: [0.98684211 0.98387097], Precision: 0.9839, Recall: 0.9839, F1 Score: 0.9839
Epoch [45/50], Validation Loss: 0.0796, Validation Accuracy: 97.83%, Accuracy per Class: [0.98684211 0.96774194], Precision: 0.9836, Recall: 0.9677, F1 Score: 0.9756
Epoch [46/50], Validation Loss: 0.0875, Validation Accuracy: 97.97%, Accuracy per Class: [0.98947368 0.96774194], Precision: 0.9868, Recall: 0.9677, F1 Score: 0.9772
Epoch [47/50], Validation Loss: 0.0767, Validation Accuracy: 98.55%, Accuracy per Class: [0.98684211 0.98387097], Precision: 0.9839, Recall: 0.9839, F1 Score: 0.9839
Epoch [48/50], Validation Loss: 0.0863, Validation Accuracy: 97.97%, Accuracy per Class: [0.98947368 0.96774194], Precision: 0.9868, Recall: 0.9677, F1 Score: 0.9772
Epoch [49/50], Validation Loss: 0.0772, Validation Accuracy: 98.41%, Accuracy per Class: [0.98684211 0.98064516], Precision: 0.9838, Recall: 0.9806, F1 Score: 0.9822
Epoch [50/50], Validation Loss: 0.0858, Validation Accuracy: 97.83%, Accuracy per Class: [0.98947368 0.96451613], Precision: 0.9868, Recall: 0.9645, F1 Score: 0.9755
Test Loss: 0.0425, Test Accuracy: 98.70%, Accuracy per Class: [0.99491094 0.97643098], Precision: 0.9932, Recall: 0.9764, F1 Score: 0.9847
